STATE,Median personal earning white,Median personal earning black,Difference_Income_Personal,White poverty rate,Black poverty rate,Difference_poverty,Unemployment white,Unemployment black,Difference_unemployment,White able to work remotely,Black able to work remotely,Difference_Remote_Work,White Diabetes,Black Diabetes,Difference_Diabetes,White Obese,Black Obese,Difference_Obese,"Primary Care Physicians (per 100,000 residents)",White Smokers,Black Smokers,Difference_Smokers,White no health insurance,Black no health insurance,Difference_No_Insurance,White no exercise,Black no exercise,Difference_no_exercise,White fair or poor health,Black fair or poor health,Difference_fair_or_poor_health,White vegetable less than one day,Black vegetable less than one day,Difference_no_vegetable
Indiana,31213,23604,7609,11.57149563,28.3709268,16.79943117,4.966432412,13.00537158,8.038939168,57.44161956,49.46002897,7.981590591,11.2,13.9,2.7,30.7,41,10.3,106.7,20.9,21.6,0.7,8.2,11.6,3.4,28.4,36.1,7.7,18.4,21.6,3.2,25.7,37,11.3
Iowa,31852,20190,11662,10.0157868,36.10643625,26.09064945,3.503820612,13.12030939,9.616488778,59.56886382,44.67829706,14.89056676,8.7,7.4,-1.3,32.4,29.5,-2.9,89,17.7,24.9,7.2,3.8,12.2,8.4,25.7,27.6,1.9,11.8,19.6,7.8,27.1,31.7,4.6
Kansas,32963,25945,7018,10.03558679,26.08092173,16.04533494,4.004286428,7.710779082,3.706492654,63.71921858,49.48473339,14.23448519,9.6,13.7,4.1,33.3,45.5,12.2,108.3,17.3,25.3,8,6.4,13.9,7.5,25.7,31.9,6.2,14.3,21.4,7.1,21.6,35.7,14.1
Kentucky,29978,21543,8435,16.79207198,30.83201882,14.03994684,6.078258448,11.00492732,4.926668872,58.15643043,48.16204376,9.994386668,13.6,15.5,1.9,34.3,44.6,10.3,107,25.8,22.3,-3.5,5.2,5.8,0.6,32.7,32.9,0.2,22.3,23.3,1,23.9,37.5,13.6
Louisiana,36392,21241,15151,12.40896499,32.17303173,19.76406674,5.381205536,10.6217846,5.240579064,62.36895329,46.16117481,16.20777848,11,17.2,6.2,34.2,43.5,9.3,125,22.3,21.1,-1.2,9.3,14.5,5.2,30.9,34.6,3.7,19.2,27.8,8.6,25,45,20
Maryland,46848,36648,10200,6.542142576,14.47868884,7.936546264,4.202225879,7.890970318,3.688744439,72.5379653,63.10520217,9.432763128,9.9,12.7,2.8,26.7,37.8,11.1,183.7,16.9,15.4,-1.5,3.3,6.8,3.5,22.7,28.4,5.7,13.7,15.4,1.7,18.8,29.4,10.6
Massachusetts,42118,27654,14464,7.771247246,21.62059068,13.84934343,5.052669625,9.986296167,4.933626542,69.94016282,54.01038091,15.92978191,8.6,12.7,4.1,23.3,38.7,15.4,206.7,14.6,15.4,0.8,2.2,4.6,2.4,23.8,34.6,10.8,12.7,18.8,6.1,17.2,22.2,5
Michigan,31165,21453,9712,11.85568372,32.94183585,21.08615213,5.463596899,16.56131438,11.09771748,60.37851674,49.37712988,11.00138686,10.5,13.3,2.8,29.7,40.2,10.5,124.1,19.6,26.1,6.5,5.3,7.6,2.3,24.3,30.2,5.9,16.1,25.8,9.7,23,35.1,12.1
Minnesota,37100,21219,15881,7.287532454,32.35453399,25.06700154,3.397706625,10.06682716,6.669120535,64.7732664,48.58471627,16.18855013,7.4,10.5,3.1,26.7,25.2,-1.5,146.2,15.8,21,5.2,3,7.2,4.2,21,27.2,6.2,11.7,15.8,4.1,21.9,35.3,13.4
Mississippi,31484,21344,10140,13.3533429,34.69871031,21.34536741,5.829326615,14.00330922,8.173982605,61.51265769,43.94096084,17.57169685,14.3,16,1.7,31,43.7,12.7,84.7,22.5,22.2,-0.3,10.9,13.6,2.7,36.5,37,0.5,22.7,25.7,3,24.7,42.8,18.1
