STATE,Median personal earning white,Median personal earning black,Difference_Income_Personal,White poverty rate,Black poverty rate,Difference_poverty,Unemployment white,Unemployment black,Difference_unemployment,White able to work remotely,Black able to work remotely,Difference_Remote_Work,White Diabetes,Black Diabetes,Difference_Diabetes,White Obese,Black Obese,Difference_Obese,"Primary Care Physicians (per 100,000 residents)",White Smokers,Black Smokers,Difference_Smokers,White no health insurance,Black no health insurance,Difference_No_Insurance,White no exercise,Black no exercise,Difference_no_exercise,White fair or poor health,Black fair or poor health,Difference_fair_or_poor_health,White vegetable less than one day,Black vegetable less than one day,Difference_no_vegetable,Black health index,Black education index,Black income index,White health index,White education index,White income index,Difference education index,Education spending,GDP per capita,Public assistance per capita,Minimum wage,Median peronal earning,Poverty rate,Remote rate
Idaho,27159,,,13.54312344,,,4.857842243,,,60.41488339,57.8976184,2.517264994,8.1,,,28.1,,,81.5,13.1,,,8.9,11.2,2.3,20.2,,,13.3,,,17.6,,,,,,5.579277252,4.993719782,3.565462691,,7770,40668.04,8.459572308,7.25,26909.82075,15.13769669,56.65011259
Illinois,38570,25465,13105,8.679904008,28.20595236,19.52604835,4.955104763,16.43263296,11.4775282,66.25580639,55.49135463,10.76445176,9.3,14.8,5.5,29.1,40.6,11.5,138.8,16.1,15.9,-0.2,4.1,8.1,4,23.3,30.4,7.1,13.9,20.7,6.8,22.1,42.6,20.5,3.209333389,4.214560617,3.946442137,5.544973195,6.027993605,5.692094689,1.813432988,15740,62414.29,14.61897925,8.25,34604.73099,13.56159543,61.19085474
Indiana,31213,23604,7609,11.57149563,28.3709268,16.79943117,4.966432412,13.00537158,8.038939168,57.44161956,49.46002897,7.981590591,11.2,13.9,2.7,30.7,41,10.3,106.7,20.9,21.6,0.7,8.2,11.6,3.4,28.4,36.1,7.7,18.4,21.6,3.2,25.7,37,11.3,3.264034962,3.85438813,2.823151611,4.882974653,4.729787095,4.540557531,0.875398965,10262,52252.11,60.87907573,7.25,30872.57699,14.54137786,55.65054235
Iowa,31852,20190,11662,10.0157868,36.10643625,26.09064945,3.503820612,13.12030939,9.616488778,59.56886382,44.67829706,14.89056676,8.7,7.4,-1.3,32.4,29.5,-2.9,89,17.7,24.9,7.2,3.8,12.2,8.4,25.7,27.6,1.9,11.8,19.6,7.8,27.1,31.7,4.6,3.867651296,4.440141449,1.120985058,5.733571459,5.120895271,4.588021788,0.680753822,11732,57743.13,31.69116543,7.25,32050.46496,12.15868699,56.6490384
Kansas,32963,25945,7018,10.03558679,26.08092173,16.04533494,4.004286428,7.710779082,3.706492654,63.71921858,49.48473339,14.23448519,9.6,13.7,4.1,33.3,45.5,12.2,108.3,17.3,25.3,8,6.4,13.9,7.5,25.7,31.9,6.2,14.3,21.4,7.1,21.6,35.7,14.1,3.170727771,4.096534853,3.094485743,5.35083096,5.602099654,4.927678375,1.505564801,11652,53167.74,6.868978696,7.25,31215.80614,13.03025176,59.4638652
Kentucky,29978,21543,8435,16.79207198,30.83201882,14.03994684,6.078258448,11.00492732,4.926668872,58.15643043,48.16204376,9.994386668,13.6,15.5,1.9,34.3,44.6,10.3,107,25.8,22.3,-3.5,5.2,5.8,0.6,32.7,32.9,0.2,22.3,23.3,1,23.9,37.5,13.6,3.14177321,3.422261583,2.404857905,4.151619663,4.207850572,4.089623791,0.78558899,11110,45423.98,42.93696041,7.25,30116.81653,18.50934564,56.99252501
Louisiana,36392,21241,15151,12.40896499,32.17303173,19.76406674,5.381205536,10.6217846,5.240579064,62.36895329,46.16117481,16.20777848,11,17.2,6.2,34.2,43.5,9.3,125,22.3,21.1,-1.2,9.3,14.5,5.2,30.9,34.6,3.7,19.2,27.8,8.6,25,45,20,2.681892515,3.245919975,2.262947914,4.461967836,4.597786802,5.406222703,1.351866827,11452,50744.54,28.47524281,,30424.95874,19.59504924,57.2701996
Maine,30145,15916,14229,12.67214153,42.88797755,30.21583602,5.127174395,,,59.81805885,40.19157853,19.62648032,9.9,,,30.3,,,135.2,19,,,8.1,11.4,3.3,24.8,,,15.7,,,18.1,,,,,,5.466984298,5.127443607,4.300290858,,14144,44955.27,121.8660857,9,30467.53676,13.35038933,60.28787164
Maryland,46848,36648,10200,6.542142576,14.47868884,7.936546264,4.202225879,7.890970318,3.688744439,72.5379653,63.10520217,9.432763128,9.9,12.7,2.8,26.7,37.8,11.1,183.7,16.9,15.4,-1.5,3.3,6.8,3.5,22.7,28.4,5.7,13.7,15.4,1.7,18.8,29.4,10.6,3.951456027,4.801796472,6.213323491,5.601993845,6.355267936,7.452517692,1.553471464,14761,63889.2,224.4272402,8.75,41226.1981,9.73473937,66.60315504
Massachusetts,42118,27654,14464,7.771247246,21.62059068,13.84934343,5.052669625,9.986296167,4.933626542,69.94016282,54.01038091,15.92978191,8.6,12.7,4.1,23.3,38.7,15.4,206.7,14.6,15.4,0.8,2.2,4.6,2.4,23.8,34.6,10.8,12.7,18.8,6.1,17.2,22.2,5,5.335209948,4.964535744,4.23950846,5.999455088,6.615069371,6.76066638,1.650533627,17058,75822.04,176.1739262,11,40608.53152,11.46672737,66.75353465
Michigan,31165,21453,9712,11.85568372,32.94183585,21.08615213,5.463596899,16.56131438,11.09771748,60.37851674,49.37712988,11.00138686,10.5,13.3,2.8,29.7,40.2,10.5,124.1,19.6,26.1,6.5,5.3,7.6,2.3,24.3,30.2,5.9,16.1,25.8,9.7,23,35.1,12.1,3.091463439,4.086170457,2.774654937,5.415963637,5.292661686,4.351717484,1.206491228,12345,49887.69,23.88492666,8.9,30456.55602,15.77214418,58.1793677
Minnesota,37100,21219,15881,7.287532454,32.35453399,25.06700154,3.397706625,10.06682716,6.669120535,64.7732664,48.58471627,16.18855013,7.4,10.5,3.1,26.7,25.2,-1.5,146.2,15.8,21,5.2,3,7.2,4.2,21,27.2,6.2,11.7,15.8,4.1,21.9,35.3,13.4,5.718504967,3.950421652,2.351831651,6.345868845,5.755201943,5.506858196,1.80478029,12974,61833.51,92.72088246,9.5,36488.39217,10.18208197,62.50854737
Mississippi,31484,21344,10140,13.3533429,34.69871031,21.34536741,5.829326615,14.00330922,8.173982605,61.51265769,43.94096084,17.57169685,14.3,16,1.7,31,43.7,12.7,84.7,22.5,22.2,-0.3,10.9,13.6,2.7,36.5,37,0.5,22.7,25.7,3,24.7,42.8,18.1,2.66740761,3.569552909,1.622408709,4.20091685,4.422087718,4.959275435,0.852534808,8934,36207.74,334.8557798,,28149.15356,21.99587859,54.3671515
Missouri,31129,23893,7236,12.14809362,28.04740756,15.89931394,4.567257518,10.80286774,6.235610222,61.35386959,52.73909006,8.61477953,10.9,16,5.1,32,36.9,4.9,115.2,21.6,26.1,4.5,8.7,13,4.3,26.1,34.7,8.6,17.1,21.9,4.8,21.3,37.3,16,3.407001993,3.88354847,2.867848165,4.890031498,4.873242022,4.48926837,0.989693553,10810,49964.06,25.14928484,7.7,30904.55719,14.83395282,59.79330689
Montana,28737,17584,11153,12.54582247,,,3.951149267,,,59.88627151,49.21534438,10.67092713,7.4,,,22.7,,,102.6,17.2,,,9.6,17.4,7.8,21.6,,,13.9,,,18.5,,,,,,5.448916128,5.161713529,3.570600126,,11680,44609.22,28.0749582,8.15,26776.21514,14.61576399,59.34615973
Nebraska,32528,21963,10565,9.121705949,28.56877647,19.44707052,2.550099055,4.572071555,2.0219725,62.84699008,53.21919852,9.627791555,8.7,12,3.3,31.3,36.3,5,123.1,16.7,23,6.3,6,14.3,8.3,24.4,24,-0.4,12.1,18.7,6.6,24.4,34.6,10.2,3.300610847,4.080511345,3.248131746,5.830253905,5.731722746,4.60450865,1.651211401,12490,61228.05,24.25917234,9,31464.92398,12.55349539,60.03796151
Nevada,36033,26984,9049,10.47627888,25.03520064,14.55892176,7.146663652,11.71185598,4.565192328,62.47359081,52.52140299,9.952187818,10.1,16.1,6,25.7,26.4,0.7,85.6,17.3,27.1,9.8,7.3,11,3.7,24.3,26.4,2.1,14.5,30,15.5,18.8,23.5,4.7,4.126893464,3.754806694,3.993675844,4.474477608,4.632263994,5.955731142,0.877457301,9417,51477.9,17.29598093,8.25,31075.5976,14.67276297,53.59912479
New Hampshire,37066,20770,16296,7.516873721,,,4.087301472,,,64.5343886,51.08342362,13.45096498,8,,,26.7,,,137.5,15.9,,,5.8,13.4,7.6,22.4,,,11.9,,,16.9,,,,,,5.894142709,5.755073185,5.550310388,,16892,59301.24,54.11060207,7.25,35974.12423,8.233001568,63.88051248
New Jersey,46930,30703,16227,6.307644937,18.61283837,12.30519343,5.432160535,12.12078233,6.688621795,71.75096914,58.52338664,13.2275825,8.2,12.4,4.2,24.9,35.8,10.9,145.2,14,18,4,4.4,9.9,5.5,24.1,30.2,6.1,12.9,21.6,8.7,20.5,31,10.5,3.953351028,4.479322554,5.403444584,5.956397772,6.555493672,7.552998423,2.076171119,20020,65817.88,45.76907848,8.44,40959.38892,10.77385321,65.52681244
New Mexico,32957,27041,5916,11.94018257,31.90216787,19.9619853,5.492013435,8.84194831,3.349934875,70.06564412,55.94672336,14.11892076,9,23.2,14.2,23.5,39.2,15.7,119.9,16.9,35.1,18.2,6.6,7.4,0.8,22.2,30.2,8,15,26.3,11.3,17.4,31,13.6,,,,5.41895031,5.875563437,5.404251959,,9582,45638.31,53.23462706,7.5,26969.25768,20.43766701,58.46009409
New York,41011,31108,9903,9.953531479,22.59070747,12.63717599,4.856435968,10.88736397,6.030928002,69.63521053,54.43170491,15.20350563,8.3,11.8,3.5,24.4,31.1,6.7,170.1,15.9,15.7,-0.2,4.2,7.8,3.6,26.1,32,5.9,13.5,19.5,6,20.4,29.7,9.3,4.759071647,4.238305964,5.189704935,6.029780747,6.297556942,6.492437613,2.059250978,24039,75713.3,190.4950401,9.7,36286.27286,15.40171386,63.21766026
North Carolina,32319,23484,8835,11.31287216,25.25761331,13.94474115,5.321247373,11.4847811,6.163533727,65.35271492,52.11183232,13.24088259,10.4,14.9,4.5,27.7,40,12.3,119.7,19.3,21.6,2.3,8,11.6,3.6,24.8,29.5,4.7,17.6,22,4.4,18.2,33.6,15.4,3.64251221,3.902164996,2.97285667,5.129575229,5.177638154,5.06771026,1.275473158,9376,51918.79,17.52498954,7.25,30580.70219,16.42311554,59.53172202
North Dakota,35793,23481,12312,8.928234236,,,2.156658007,,,58.88901621,44.90358127,13.98543495,8.4,,,31,,,122.4,17.4,,,5.9,15.8,9.9,27,,,13.4,,,26.9,,,,,,5.917746051,4.831660141,4.603033812,,13757,69656.03,5.284518475,7.25,35034.76195,10.96185978,57.15652181
Ohio,31947,21831,10116,11.2460735,32.48055542,21.23448192,5.076764069,14.3571208,9.280356731,60.13889202,51.28788548,8.851006537,10.8,14.1,3.3,29.6,35,5.4,129.7,20.3,28.2,7.9,5.8,8.3,2.5,26.3,32.7,6.4,16,21.2,5.2,23.3,38.9,15.6,3.308072637,3.777165982,2.646896902,5.050195676,5.017660178,4.755001359,1.240494195,13026,54947.87,72.2439887,8.15,31292.14225,14.8239451,59.05742019
Oklahoma,31721,22101,9620,12.43132128,27.79437709,15.36305581,4.61061162,9.410937465,4.800325845,61.81777822,52.30093326,9.516844958,11.5,14.1,2.6,32.9,36.9,4,85.2,21.4,25,3.6,9.9,16.8,6.9,32.6,36.1,3.5,20.7,25.9,5.2,23.2,29,5.8,2.819541702,4.058904154,2.23791559,4.159658095,4.710377618,4.383507897,0.651473464,8238,47304.48,57.269405,7.25,30680.37255,16.0923598,57.72938416
Oregon,31256,21517,9739,12.91001678,30.66898706,17.75897028,6.37831062,11.54378336,5.16547274,64.15334971,59.01936607,5.133983637,10.5,,,29.9,,,134.6,16.8,30.7,13.9,5.4,6.4,1,17.9,,,16.8,,,15.5,,,4.665215768,4.863860109,3.859864801,5.507557631,5.204842886,4.321316963,0.340982777,11919,56147.3,36.23748659,9.75,30548.2231,15.35974628,60.38766674
Pennsylvania,34911,24526,10385,9.362041446,28.48458281,19.12254136,4.974430346,13.02380191,8.049371564,62.40862341,52.90491143,9.503711977,10.5,13.7,3.2,29.3,33.3,4,135.1,17,25.6,8.6,5.2,9.5,4.3,27.2,29.5,2.3,15.5,18.5,3,22.7,32,9.3,3.086287657,3.907393615,3.73483576,5.369753678,5.382283296,5.182620187,1.47488968,16395,57886.88,92.48191545,7.25,32416.24021,13.16028076,60.56107777
Rhode Island,37408,30061,7347,9.403190411,24.38129127,14.97810086,4.989508372,11.45821457,6.468706198,65.58047119,47.55231404,18.02815715,8.5,13,4.5,25.7,33.5,7.8,179.6,15.7,18.4,2.7,3.7,9.6,5.9,25.5,28.3,2.8,14,12.6,-1.4,20.8,35.1,14.3,,,,5.716633112,5.635337691,5.773344195,,16121,55400.95,98.4570642,9.6,35103.04726,13.87671288,62.66012667
South Carolina,31958,21929,10029,11.28049522,26.42990235,15.14940713,5.602989846,11.77413686,6.171147014,63.83987812,47.05185552,16.78802259,10.8,15.2,4.4,28.7,41,12.3,108.8,19.9,19.4,-0.5,8.9,11.6,2.7,24.9,30.6,5.7,15.5,22.5,7,20.3,40.7,20.4,3.350122738,3.530821102,2.350388953,4.91156542,5.198679021,5.031522336,1.667857919,10856,42838.92,20.8327121,,29717.59243,16.64612694,58.46773933
South Dakota,31281,18890,12391,9.4714976,,,2.811063877,,,60.79963103,34.73799927,26.06163176,8.8,,,30.1,,,114.9,17.6,,,6.6,16.9,10.3,21.9,,,12.8,,,25.6,,,,,,6.01805893,5.078487403,4.267857666,,10073,56494.05,23.29728855,8.65,31419.07467,13.74939131,56.83778488
Tennessee,30789,24097,6692,13.82125644,25.37973222,11.55847578,5.203748121,10.94528636,5.741538239,61.66676906,51.3385529,10.32821615,12.4,17.5,5.1,31.9,47.9,16,126.4,22.7,19,-3.7,8.2,12.3,4.1,30.4,32.1,1.7,21.1,23.2,2.1,20.1,36.9,16.8,2.882620552,3.884717275,3.122058605,4.448860771,4.586020052,4.330272139,0.701302777,9543,50211.44,12.57518788,,30199.8434,16.73658748,58.41509343
Texas,40843,27616,13227,8.649350589,21.36942519,12.7200746,4.464273951,8.056561683,3.592287732,70.54060194,58.37191714,12.1686848,10.1,16.9,6.8,28.9,39,10.1,99.4,16.9,17,0.1,9.3,14.9,5.6,27,32.9,5.9,15.4,22.4,7,17.2,33.3,16.1,3.493710899,4.372254002,4.064688668,5.002013974,5.582805102,6.23870019,1.210551099,9606,59314.54,2.366294013,7.25,31271.29219,15.85146697,59.53132138
Utah,31188,23804,7384,9.199154802,23.7004379,14.5012831,3.656718768,6.377788104,2.721069336,67.15804411,55.71348718,11.44455693,6.9,,,24.1,27.9,3.8,90.5,8.7,,,7.1,13.4,6.3,19,,,11.1,,,19.3,,,,,,5.874232593,5.534587434,4.495263371,,7627,52438.75,25.36784205,7.25,30257.36111,11.25745074,62.81494439
Vermont,31352,22306,9046,9.61751914,,,3.668380399,,,62.19446744,46.41085015,15.78361729,8.3,,,25.3,,,181.3,15.9,,,,,,22.2,,,12.5,,,17.5,,,,,,5.979835795,5.637252076,4.429535651,,19340,50405.54,175.7070612,10,32410.3592,10.20778845,62.3979307
Virginia,39964,27733,12231,8.685102721,19.1033423,10.41823958,4.332831436,9.212332474,4.879501038,69.71209479,56.1741395,13.53795529,9.9,14.5,4.6,27.7,39.1,11.4,127.2,16.7,19.2,2.5,6.5,11,4.5,23,30.9,7.9,14,19.1,5.1,19.4,31,11.6,3.865087924,4.000030898,4.333392033,5.574951285,5.827754439,6.479509434,1.827723541,12215,59539.28,16.93905745,7.25,36305.86731,11.18324092,65.09866229
Washington,38784,28091,10693,9.96412,23.09228547,13.12816547,5.446704627,10.43265624,4.985951613,65.52892439,51.49394574,14.03497865,8.4,11.6,3.2,27.4,32.7,5.3,128.2,14.9,21.8,6.9,4.6,7.3,2.7,18,24.6,6.6,13.8,17.4,3.6,15.8,24.7,8.9,4.803566675,3.58513723,4.4074695,5.687977499,5.429180368,5.875784933,1.844043138,12995,65388.31,29.00834283,11,36307.46926,12.19034423,61.69390938
West Virginia,28053,21398,6655,17.31457896,28.35699603,11.04241707,7.015432191,11.29291934,4.277487149,56.46470707,51.28575295,5.178954115,14.5,17.3,2.8,35.4,43.7,8.3,109.2,25.2,30.5,5.3,5.9,9.4,3.5,30.9,33.7,2.8,26.2,19.3,-6.9,26.1,34.7,8.6,2.822378453,3.493900709,1.837187226,3.896488122,4.030736287,3.9823778,0.536835578,11333,41067.62,63.9868816,8.75,27687.69494,17.93451104,56.81655061
Wisconsin,33356,21339,12017,8.981197382,33.23481537,24.25361799,3.332054001,13.82351293,10.49145893,59.632774,47.11248886,12.52028514,8,11.5,3.5,30.2,44.5,14.3,125.3,16,36.4,20.4,4.3,8.6,4.3,20.7,34.8,14.1,13.4,18,4.6,23.3,38.9,15.6,3.324873417,3.725477698,2.68574887,5.961748075,5.325386036,5.066330748,1.599908339,12285,54355.39,24.25781063,7.25,32096.55357,12.06293772,57.62941965
Wyoming,32648,28238,4410,10.32541065,,,4.395089176,,,55.48113873,37.582846,17.89829273,8.8,,,27.8,,,88.7,18.2,,,9.7,5.7,-4,25.3,,,14.2,,,20.4,,,,,,5.178604041,4.723240737,5.139979361,,16223,65692.46,0,5.15,31313.32974,11.08210631,53.55706198
